title,end_with_noun?,with_space?,only_one_noun?,with_descriptive_noun?,with_particle?,with_relative?,words
コシノカンアオイ,1,0,1,0,0,0,
東京スカイツリー,1,0,1,0,0,0,
クロッカス,1,0,1,0,0,0,
春訪れの香り 梅の花,1,1,0,1,1,0,
春訪れの香り 梅の花,1,1,0,1,1,0,
春訪れの香り 梅の花,1,1,0,1,1,0,
春訪れの香り 梅の花,1,1,0,1,1,0,
春訪れの香り 梅の花,1,1,0,1,1,0,
春訪れの香り 梅の花,1,1,0,1,1,0,
ビルメンテ1,1,0,1,0,0,0,
雷鳥と槍ヶ岳,1,0,0,1,1,0,
飯山 菜の花畑,1,1,1,0,0,0,
北竜湖 菜の花畑 ,1,1,1,0,0,0,
北竜湖の朝霧 菜の花畑,1,1,0,1,1,0,
北竜湖 菜の花畑,1,1,1,0,0,0,
北竜湖 菜の花畑,1,1,1,0,0,0,
上高地田代池 朝霧新緑に差し込む朝日,1,1,0,1,1,1,
戸隠 鏡池,1,1,1,0,0,0,
戸隠 鏡池の紅葉,1,1,0,1,1,0,
戸隠 鏡池の紅葉,1,1,0,1,1,0,
戸隠 鏡池秋の訪れ,1,1,0,1,1,0,
戸隠 鏡池の新緑,1,1,0,1,1,0,
戸隠 鏡池の雪解け,1,1,0,1,1,0,
富士山とニッコウキスゲ 霧が峰より,0,1,0,0,1,0,
富士山とニッコウキスゲ 霧が峰より,0,1,0,0,1,0,
マスクと女性 ミドルエイジ,1,1,0,1,1,0,
マスクと女性 ミドルエイジ,1,1,0,1,1,0,
マスクと女性 ミドルエイジ,1,1,0,1,1,0,
マスクと女性 ミドルエイジ,1,1,0,1,1,0,
マスクと女性 ミドルエイジ,1,1,0,1,1,0,
マスクと女性 ミドルエイジ,1,1,0,1,1,0,
マスクと女性 ミドルエイジ,1,1,0,1,1,0,
マスクと女性 ミドルエイジ,1,1,0,1,1,0,
マスクと女性 ミドルエイジ,1,1,0,1,1,0,
マスクと女性 ミドルエイジ,1,1,0,1,1,0,
今日は暖かいねぇ♪,1,0,0,1,1,0,
春だね♪,1,0,0,1,1,0,
春だね♪,1,0,0,1,1,0,
春だね♪,1,0,0,1,1,0,
春だね♪,1,0,0,1,1,0,
春だね♪,1,0,0,1,1,0,
春だね♪,1,0,0,1,1,0,
春だね♪,1,0,0,1,1,0,
春だね♪,1,0,0,1,1,0,
春だね♪,1,0,0,1,1,0,
春だね♪,1,0,0,1,1,0,
春だね♪,1,0,0,1,1,0,
さくら,1,0,1,0,0,0,
マカロン,1,0,1,0,0,0,
マカロン,1,0,1,0,0,0,
マカロン,1,0,1,0,0,0,
マカロン,1,0,1,0,0,0,
貝殻,1,0,1,0,0,0,
貝殻,1,0,1,0,0,0,
事務員,1,0,1,0,0,0,
タテヤマリンドウ(御在所岳),1,0,1,0,0,0,
タテヤマリンドウ(御在所岳),1,0,1,0,0,0,
タテヤマリンドウ(御在所岳),1,0,1,0,0,0,
タテヤマリンドウ(御在所岳),1,0,1,0,0,0,
雪の兼六園,1,0,0,1,1,0,
雪の兼六園,1,0,0,1,1,0,
マカロンを食べる女性,1,0,0,1,1,1,
濡れた薔薇,1,0,0,1,0,1,
椿,1,0,1,0,0,0,
山羊,1,0,1,0,0,0,
髭なびく,0,0,0,0,0,0,
ハチミツ採取,1,0,1,0,0,0,
アカヤシオ咲く御在所岳山頂,1,0,0,1,0,1,
アカヤシオ咲く御在所岳山頂,1,0,0,1,0,1,
一等三角点(御在所岳頂上),1,0,1,0,0,0,
一等三角点(御在所岳頂上),1,0,1,0,0,0,
一等三角点(御在所岳頂上),1,0,1,0,0,0,
設備点検2,1,0,1,0,0,0,
東京駅,1,0,1,0,0,0,
東京駅,1,0,1,0,0,0,
東京駅,1,0,1,0,0,0,
東京駅,1,0,1,0,0,0,
時,1,0,1,0,0,0,
カメムシ,1,0,1,0,0,0,
春日大社の石灯籠,1,0,0,1,1,0,
ホース,1,0,1,0,0,0,
瑞泉寺石庭,1,0,1,0,0,0,
ハナショウブ,1,0,1,0,0,0,
ありがとう,0,0,0,0,0,0,
ありがとう,0,0,0,0,0,0,
ビジネスマン ポーズ,1,1,1,0,0,0,
真冬の美女,1,0,0,1,1,0,
真冬の美女,1,0,0,1,1,0,
真冬の美女,1,0,0,1,1,0,
真冬の美女,1,0,0,1,1,0,
真冬の美女,1,0,0,1,1,0,
真冬の美女,1,0,0,1,1,0,
真冬の美女,1,0,0,1,1,0,
真冬の美女,1,0,0,1,1,0,
真冬の美女,1,0,0,1,1,0,
母の日消印,1,0,0,1,1,0,
オペレーター,1,0,1,0,0,0,
オペレーター,1,0,1,0,0,0,
オペレーター,1,0,1,0,0,0,
